F1,grid_label
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDCD
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDC
AN,KDDBCDDD
AN,KDDBCDDB
AN,KDDBCDDB
AN,KDDBCDDB
AN,KDDBCDDB
AN,KDDBCDDB
AN,KDDBCDDB
AN,KDDBCDDB
AN,KDDBCDDB
AN,KDDBDCCA
AN,KDDBDCCA
AN,KDDBDCCA
AN,KDDBDCAC
AN,KDDBDCAC
AN,KDDBDCAC
AN,KDDBDCAC
AN,KDDBDCAC
AN,KDDBDCAC
AN,KDDBDCAC
AN,KDDBDCAC
AN,KDDBDCAA
AN,KDDBDCAA
AN,KDDBDCAA
AN,KDDBDCAA
AN,KDDBDCAA
AN,KDDBDCAA
AN,KDDBDACC
AN,KDDBDACC
AN,KDDBDACC
AN,KDDBDACC
AN,KDDBDACC
AN,KDDBDACC
AN,KDDBDACC
AN,KDDBDACC
AN,KDDBDACC
AN,KDDBCBDB
AN,KDDBCBDB
AN,KDDBCBDB
AN,KDDBCBDB
AN,KDDBCBDB
AN,KDDBCBDB
AN,KDDBCBDB
AN,KDDBCBDB
AN,KDDBCBDB
AN,KDDBCBBD
AN,KDDBCBBD
AN,KDDBCBBD
AN,KDDBCBBD
AN,KDDBCBBD
AN,KDDBCBBD
AN,KDDBCBBD
N,KDDBDAAC
N,KDDBDAAC
N,KDDBDAAA
N,KDDBDAAA
N,KDDBDAAA
N,KDDBDAAA
N,KDDBDAAA
N,KDDBDAAA
N,KDDBDAAA
N,KDDBDAAA
N,KDDBDAAA
N,KDDBDAAA
N,KDDBBCCC
N,KDDBBCCC
N,KDDBBCCC
N,KDDBBCCC
N,KDDBBCCC
N,KDDBBCCD
N,KDDBBCCD
N,KDDBBCCD
N,KDDBBCCD
N,KDDBBCCD
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCCB
N,KDDBBCBC
N,KDDBBCBC
N,KDDBBCBC
N,KDDBBCBC
