F1,grid_label
AN,JFDCACBC
AN,JFDCACBC
AN,JFDCACBC
AN,JFDCACBC
AN,JFDCACBC
AN,JFDCACBC
AN,JFDCACBD
AN,JFDCACBD
AN,JFDCACBD
AN,JFDCACBD
AN,JFDCACBD
AN,JFDCACBD
AN,JFDCACBD
AN,JFDCADAC
AN,JFDCADAC
AN,JFDCADAC
AN,JFDCADBA
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBBACC
AN,IFDBABDD
AN,IFDBABDD
AN,IFDBABDD
AN,IFDBABDD
AN,IFDBABDD
AN,IFDBABDD
AN,IFDBADBB
AN,IFDBADBB
AN,IFDBADBB
AN,IFDBADBB
AN,IFDBADBA
AN,IFDBADBA
AN,IFDBADBA
AN,IFDBADDA
AN,IFDBADDA
AN,IFDBADDA
AN,IFDBADDA
